start	end	text
320	2380	Приветствую, с вами Вектор Т13.
3060	13000	И в этом видео я научу вас простейшей системе анализа веб-ресурсов на предмет использования антибот или антифрод-систем.
13500	19800	Даже без знаний программирования, всего-навсего за несколько минут вы сможете проанализировать любой веб-ресурс.
19800	32120	И что еще немаловажно, вы сможете контролировать изменения этого ресурса и всегда знать, когда с ним что-нибудь происходит плохое.
32200	35540	Я имею ввиду плохое для нас, то есть обновление антифрод-систем.
36020	45480	И это очень важно, потому что иногда пользователи работают на протяжении нескольких месяцев, а потом резко у них все обрывается, и они не могут понять, в чем же, собственно говоря, причина.
45800	49480	Итак, представим себе абстрактно, что у нас есть...
49800	58440	То есть веб-ресурс DetectExpert, и нам необходимо на этом веб-ресурсе создавать мультиаккаунтинг, то есть использовать большое количество аккаунтов.
59220	61180	В первую очередь, с чего мы должны начать?
61520	64740	Мы должны начать с понимания того, кто находится перед нами.
65220	71000	А именно, есть два основных типа антифрод-системы, антифрод и антибот-системы.
71220	75440	Первый тип это публичные антибот-антифрод-системы.
75920	79000	И второй тип это самописные антибот-антифрод-системы.
79800	81160	В чем же их разница?
81280	84960	Надо на это очень сильное внимание обратить.
85620	91600	Дело в том, что публичные антибот-антифрод-системы, они элементарно просто определяются.
91980	97880	Фактически в 100% случаев невозможно скрыть, что используется какой-либо сторонний антибот.
98120	107720	Имеют открытые данные, то есть вы можете зарегистрироваться в большинстве из этих систем, даже без проверки к Know Your Customer.
107720	109720	Но если же система...
109800	111680	high-end,
111680	117260	то тогда, да, будет небольшой Know Your Customer, с вами захотят поговорить и по факту
118040	120040	просто лишь созвонятся с вами по
121000	123000	Google Meet и
123260	129020	пообщаются на тему того, зачем вам нужна эта система и на какой веб-ресурс вы хотите ее поставить.
129120	132520	Скажу по своему опыту, у меня не возникало проблем ни с одним...
133900	138620	ни с одной из антифрод-систем и, конечно же, даже несмотря на мою репутацию,
139800	144200	все компании выдавали мне доступ к своим ресурсам.
144200	150000	И когда вы уже попали внутрь, вы можете просмотреть полностью все и понять,
150000	157800	система базируется на правилах, система базируется на метриках, либо же система базируется на сборе третисторонних ресурсов.
157800	161000	Иными словами, все невероятно просто.
161000	164000	И мы всегда можем понять, что там происходит внутри.
164000	166800	Дальше. Четвертый пункт.
166800	168800	Вам не понадобится
168800	171400	деобфускатор джаваскрипт-кода.
171400	177400	Очень важный и скользкий момент, который я сейчас упущу, пока мы не перейдем к следующим теме.
177400	181000	И это была публичная антифрод-система.
181000	183800	Что же с самописной антифрод-системой?
183800	188200	Есть компании, которые не хотят передавать свои ресурсы
188200	192600	в пользование каким-то другим компаниям.
192600	195400	Либо же хотят даже сэкономить на этом,
195400	198800	или же полностью уверены в том, что их решение,
198800	202400	будет намного лучше, чем все, что есть на рынке.
202400	205800	Это называется самописная антифрод-система.
205800	211200	Вот этот зверь очень-очень сложный.
211200	212200	Объясню почему.
212200	216200	Дело в том, что когда используется самописная антифрод-система,
216200	219800	ее можно в большинстве случаев вскрыть так,
219800	224400	что найти ее будет крайне сложно.
224400	226600	В этой системе нельзя зарегистрироваться.
226600	228400	Соответственно, вы не можете получить какие-либо данные,
