start	end	text
200	2000	Приветствую, с вами Вектор Т13.
2580	5480	В этом уроке мы поговорим с вами о DNS.
6220	10080	И несмотря на то, что возможно вам покажется эта тема довольно скучной,
10160	13060	и вам захочется перелеснуть на следующий урок,
13360	14900	я прошу вас остановиться.
15460	22680	Дело в том, что DNS сам по себе важен абсолютно равносильно столько же,
22840	25160	сколько и важен ваш реальный IP-адрес.
25660	29320	И представим себе, что DNS и IP-адрес это костюм,
29320	33440	вы же не будете одевать отдельно пиджак, при этом не надев брюки.
34040	35960	Точно так же и в работе с DNS.
36840	40520	В этом уроке я расскажу вам, как правильно с ним работать,
40920	45200	и почему вы всегда до этого делали это неправильно.
45420	46540	Итак, приступаем.
47440	51280	На своих экранах вы видите веб-ресурс DetectExpert,
51680	56380	мой веб-сайт, на котором у меня один из сервисов предоставляет прокси.
57700	59300	Мы предоставляем прокси.
59520	61520	Прокси как мобильные, так и резидентные.
61720	66160	И за те много лет, что работает этот сервис,
67560	71280	самый популярный вопрос, который был от пользователей,
71720	73120	это что делать с DNS.
73560	75400	Но в случае использования мобильных адресов,
75480	79920	мы, конечно же, можем предоставить соединение типа OpenVPN или WireGuard,
80320	82920	и в таком случае DNS будет подтянут автоматически.
83000	88880	Но что делать, если пользователь принципиально хочет подключить прокси SOCKS?
89320	91320	Например, SOCKS 5.
91720	93000	И знаете, зачем он это хочет?
93160	98600	Потому что он хочет эти прокси использовать в своем антидетект-браузере,
98880	101480	либо в какой-либо другой программе.
102680	106960	И в частности, человек говорит, а какой же DNS мне выставить?
108520	114720	Самый популярный ответ, который пользователи дают друг другу на этот вопрос,
115160	118440	заключается в том, что выставь себе Google DNS и не парься.
118440	122760	Давайте разберемся, можно ли работать с Google DNS,
123120	127820	со всеми популярными DNS, общедоступными, и как это делать правильно.
128800	131740	Забегая вперед скажу, как я и говорил в начале этого урока,
132460	135280	вы никогда правильно с DNS не работали.
136280	136900	Приступаем.
137420	144080	Итак, что же сделает пользователь, когда он установит SOCKS прокси в свой антидетект-браузер,
144080	148280	который просто не поддерживает подключение с помощью OpenVPN или WireGuard,
148440	152200	он задастся вопросом, какой же DNS ему выставить.
152480	156660	И по факту, действительно в интернете практически нет информации,
157120	160140	касаемо того, какой DNS необходимо использовать.
160980	163740	И мы сейчас с вами об этом поговорим.
