start	end	text
300	2300	Приветствую, с вами Вектор Т13.
3040	8860	В наших прошлых уроках мы рассмотрели множество различных отпечатков, которые мы можем найти,
9180	12880	и мы рассмотрели их под совершенно другим углом.
13300	16620	Не только лишь по проверке хэша, например, и так далее,
17080	23680	а непосредственно, как эти технологии могут использоваться не только для фингерпринтинга,
23680	30360	но и для определения виртуальных машин, а также ВПС-серверов или удаленных серверов.
30700	36860	И сейчас настало время одной технологии, которую наверняка вы слышали,
37460	40860	но не совсем понимаете, для чего она используется.
41380	45160	Итак, технология WebGL.
46020	48260	Вы скажете, мы про нее уже говорили? Безусловно.
48680	50400	Но мы обязаны о ней упомянуть.
50400	53400	Дело в том, что WebGL — это технология,
54040	55980	которая уже не поддерживается.
56580	59340	То есть, иными словами, она не будет развиваться.
60000	64180	В том виде, в котором она есть, она больше никакого развития не получит.
64660	66960	Есть такая компания, которая называется
66960	72460	Kronos Group WebGL.
74160	80900	Kronos Group — это объединение, которое создало такой стандарт, как WebGL.
81120	82440	WebGL-1, WebGL-2.
83680	88220	Если вам это интересно, можете сюда зайти и почитать, что конкретно они сделали.
88320	99020	Так вот, они в 2023 году заявили, что больше не будет никакой работы производиться над WebGL.
99220	104140	Технология устарела, и в первую очередь она устарела архитектурно.
104460	110860	Ну, что ожидать от технологии, которая с нами была на протяжении более чем 10 лет.
111460	112960	Понятно, что она может устареть.
113680	116620	И на ее смену, на смену технологии WebGL,
117220	120980	приходит технология, про которую наверняка вы уже слышали.
121440	123840	Эта технология называется WebGPU.
124940	128780	Технология WebGPU, несмотря на свою инновативность,
128780	133940	на текущий момент все равно находится еще в экспериментальной фазе.
134460	137960	Данная технология, ее основная фишка заключается в том,
138820	143660	что она предоставляет веб-ресурсу доступ к видеокарте,
143680	148840	и вот здесь есть как и плюсы, так и минусы.
149120	154280	Плюсы заключаются в том, что у пользователя есть возможность буквально,
155040	159260	представьте себе, играть в игры Steam, не устанавливая их на компьютер,
159320	160680	а просто с помощью веб-ресурса.
161660	164260	Ну, условно говоря, вот это работает таким образом.
164820	167940	То есть настолько быстрая, настолько прорывная технология,
167940	172940	которая позволяет использовать все ресурсы видеокарты в браке,
173680	182320	в браузере, но в то же время, такая сила, она также является большой ответственностью.
182820	187200	Поэтому нехорошие люди могут использовать это все для майнинга, например,
187200	192320	кстати, майнинг через веб-страницы, я еще такое с 2013 года помню,
192320	194320	тогда майнили с помощью WebGL.
195600	201760	Также это может использоваться для выполнения вредоносного кода на компьютере пользователя
201760	203660	и заражения его браузером.
203680	209920	Например, это может использоваться для DirectX-инъекции и множество-множество всего.
210720	214920	Ну а сейчас мы будем говорить только лишь о том, что интересует нас.
215920	221240	Прошу обратить внимание, в данном случае у меня используется одна из последних версий браузера Chrome.
222000	224060	Давайте посмотрим, какая версия у меня используется.
224060	229820	У меня используется 138-я версия, не последняя, потому что Chrome сейчас захочет обновиться еще.
230700	231120	Так вот.
231980	233060	Раньше была возможность...
233680	238680	...даже определить, какая модель видеокарты используется на компьютере пользователя.
238680	247680	Сейчас же есть возможность определить, поддерживает ли браузер WebGPU и кто является производителем данной видеокарты.
247680	249680	Фактически, на этом все.
249680	255680	Остальные моменты, которые у нас здесь касаются константа, обработки графики, дополнительных возможностей,
255680	262680	они нас на данный момент не интересуют, потому что рассказывать про них это очень скучно, нудно и так далее.
262680	263680	Если мы посмотрим...
263680	272680	Если мы посмотрим наш JSON Dump, то мы увидим только лишь видеокарту Nvidia и архитектуру ее.
272680	273680	Все.
273680	277680	Девайс у нас, к сожалению, пустой.
277680	279680	Не вот этот девайс, а вот этот девайс.
279680	281680	Вот, он у нас пустой.
281680	285680	Поэтому на текущий момент непонятно, почему Chrome так сделал.
285680	292680	Возможно, они считают это каким-либо нарушением, либо же препятствуют какому-либо очередному вектору атак и так далее.
292680	294680	Нас это сейчас не волнует.
294680	300680	Каким образом WebGPU может использоваться на текущий момент в антифрауд системах?
300680	302680	Вот, что нас интересует.
302680	304680	И здесь есть два основных момента.
304680	306680	Первый момент. Наличие WebGPU.
306680	313680	Наличие WebGPU, вот этого флажка, то, что ваш браузер поддерживает WebGPU, это, конечно, хорошо.
313680	316680	Вы увидите это во всех современных браузерах.
