start	end	text
260	2140	Приветствую, с вами Вектор Т13.
2920	5860	В прошлом уроке мы поговорили с вами о WebGPU.
6500	9340	О том, как можно определить использование виртуальной машины,
9540	12000	определить использование антидетекта, виртуального сервера,
12920	16340	или же выделенного сервера с помощью технологии WebGPU.
17280	20320	Однако мы на этом не останавливаемся.
20580	23820	Точнее, на этом не останавливаются исследователи антифрод-систем.
24260	28260	И сегодня я покажу вам, что такое отпечаток WebGPU,
28260	31960	как он формируется, какие есть методики его подмены.
32620	36140	Итак, когда дело касается отпечатка WebGPU,
36900	40600	большинство пользователей вспоминают про веб-ресурс BrowserLeaks.
41100	41940	Вот он перед вами.
42600	46560	И они воспринимают вот этот отпечаток, вот этот хэш,
46620	50400	точнее, как отпечаток WebGPU, действительно реальный.
50940	57520	Но на самом деле этот хэш не имеет к отпечатку WebGPU ничего общего.
57520	58520	Объясню почему.
58520	60520	Если мы нажмем здесь на JSON-дамп,
60520	66520	то мы видим, какую информацию собирает данный веб-ресурс нашего ПК,
66520	70520	и, соответственно, затем он преобразует ее в удобный машиночитабельный хэш,
70520	72520	который мы видим сейчас перед собой.
72520	77520	И при унификации такого подхода, то есть каждая видеокарта,
77520	81520	каждый пользователь со своей видеокартой, когда придет на этот веб-ресурс,
81520	83520	он будет видеть один и тот же отпечаток.
83520	86520	Потому что данная, в данном случае, даже модель,
86520	87080	где она находится,
87080	91080	модель видеокарты не используется, не раскрывается.
91080	94080	А все остальные константы, которые мы видим сейчас,
94080	96080	которые ответственны за обработку графики,
96080	100080	они являются одинаковыми на большинстве видеокарт.
100080	105080	То есть вы не отличите видеокарту третьего семейства от видеокарты четвертого семейства,
105080	111080	или же видеокарту первого семейства от видеокарты десятого, точнее семейства от шестнадцатого.
112080	114080	Что же делать в таком случае?
114080	117080	Есть, наверняка, какой-то отпечаток.
117080	119080	Я вам сейчас про него расскажу.
119080	125080	В июне месяце 2025 года, то есть совершенно недавно,
125080	128080	на выставке V-Sec в США
128080	130080	была представлена технология,
130080	136080	которая позволяет создать действительно реальный отпечаток WebGPU.
136080	138080	И более того, вам скажу,
138080	141080	технология невероятно простая,
141080	146080	и она призвана заменить собой устаревший уже отпечаток WebGL,
146080	149080	который, как я и говорил вам ранее,
149080	152080	он уже использоваться фактически веб-ресурсами не будет.
152080	154080	Технология мертва.
154080	156080	Она дальше развиваться не будет.
156080	158080	Если кого-то интересует данный документ,
158080	163080	вы можете загуглить, либо же просто обратиться к нашему курсу,
163080	166080	к хранилищу файлов и увидеть там данный документ
166080	170080	с его полной технической характеристикой.
170080	175080	Но нужно показать, как это работает по факту.
176080	179080	Есть такая страничка нашего чекера.
179080	183080	Вы можете также ее найти на сайте DetectExpert.
183080	188080	И здесь у нас имеется WebGPU Atomic Fingerprint.
188080	191080	То, о чем мы сейчас с вами и будем говорить.
191080	194080	Что это такое и зачем нам это нужно?
194080	198080	Дело в том, что в работе в WebGL,
198080	202080	когда мы смотрели, как работает WebGL,
202080	205080	мы понимали, что там производится какой-то рендеринг графики.
206080	210080	Но этот рендеринг графики можно было в принципе
210080	213080	без особых усилий подделать.
213080	217080	Чем, собственно говоря, пользовались браузерные антидетекты.
217080	219080	Что же с WebGPU?
219080	222080	Наша задача сейчас нажать на кнопку Collect Fingerprint.
222080	225080	И вот мы получаем наш фингерпринт.
225080	229080	Как мы видим, я сейчас хочу показать отдельный небольшой тест,
229080	234080	который очень важен будет по поводу загрузки.
234080	235080	Давайте посмотрим.
235080	240080	Давайте посмотрим сейчас на загрузку GPU при проведении данного теста.
240080	245080	Вот мы видим, что сейчас у нас уровень загрузки держится на уровне 40-50%
245080	248080	и да, плюс-минус в этих пределах.
248080	252080	Если мы нажимаем с вами, обновим страницу,
252080	255080	нажимаем на кнопку Collect Fingerprint,
255080	261080	мы не видим фактически никаких изменений сейчас на нашем графике.
261080	264080	То есть обнаружить данный тест невероятно сложно.
265080	267080	В его техническом плане.
267080	272080	Плюс ко всему этот тест не является, скажем так, ресурсоемким.
272080	277080	И это большой плюс для него, но большой минус для нас.
277080	281080	Как работает данный тест? Как происходит вычисление?
281080	285080	Мы запускаем так называемые Compute Shaders WebGPU.
285080	293080	И в этих шейдерах множество потоков параллельно делают так называемую процедуру Atomic Add.
293080	294080	По общему счету.
295080	301080	Поэтому этот называется, собственно, отпечаток у нас WebGPU Atomic Fingerprint.
301080	307080	И ваш GPU-планировщик, который находится на вашем ПК,
307080	314080	ваш физический тот, скажем так, элемент, который управляет вашей видеокартой и распределением ресурсов,
314080	321080	он распределяет эти ресурсы между потоками для вычисления вот этих Compute Shaders.
321080	325080	И благодаря тому, что на разных видеокартах,
325080	328080	этот планировщик отличается, плюс ко всему,
