start	end	text
660	10640	Приветствую, с вами Вектор Т13. В этом уроке мы поговорим с вами о WebGL и о том, как WebGL может использоваться для идентификации пользователя.
11280	16240	Наверняка все, кто смотрит данный урок, уже знакомы с данным отпечатком.
16500	25640	Но что если я скажу, что вы абсолютно о нем ничего не знаете? Точнее, вы не знаете, как действительно он применяется в антифрод-системах.
25640	37160	В этом уроке я покажу вам, как он правильно работает, какой колоссальный вред он может нанести обычному пользователю, который про него не знает, а также как от этого защититься.
37740	48380	Итак, все мы знаем, что WebGL это технология, которая позволяет обработать графику в нашем браузере. Это общее ее сведение.
49200	55380	Как в разрезе антифрод? В разрезе антифрод-систем пользователь должен менять WebGL ImageHack.
55640	59780	И должен менять параметр OnMaskedRenderer.
60080	65080	Все. На этом фактически все знания пользователей, они заканчиваются.
65780	77320	И многие думают, ошибочно думают точнее, что изменив видеокарту, изменив отпечаток, это позволит обороть любую антифрод-систему.
78040	80440	Они правы лишь отчасти.
80440	85440	Дело в том, что конечно WebGL Renderer и WebGL ImageHack.
85640	98580	Позволяют определить, например, использование видеокарты в VirtualBox, VMWare, либо же использование каких-либо кастомных сборок, либо кастомного программного обеспечения.
99100	102620	Но по факту это абсолютно технология ненадежная.
102940	111440	Поскольку ни для кого из вас не секрет, что параметр Renderer, его можно изменить, например, даже через реестр операционной системы Windows.
111440	115560	То есть вы можете выставить здесь себе любую видеокарту, которую вы захотите.
116600	117600	Надежно это?
118360	120320	Как вы думаете, со стороны антифрод-систем?
120780	121460	Увы, нет.
121940	125760	WebGL ImageHack меняется элементарно просто.
126000	129300	Кстати, не забываем, что он зависит от канваса нашего компьютера.
129740	133240	И не может быть отдельно от канваса изменяться.
133840	138740	Но суть заключается в том, что подменить данный отпечаток можно элементарно просто.
138900	141380	Благодаря различного рода плагинам для браузеров.
141380	145380	Либо же можно его подменить даже путем редактирования системы.
145640	149340	Системных файлов хром, браузера хром.
149340	151740	Вот, кстати, по поводу системных файлов хром.
151740	155740	Если сейчас мы на них обратили внимание, сделаю небольшую ремарку.
155740	161940	Есть у нас файл, который называется libglassv2.delil.
161940	166540	Он находится в любой папке с браузером хром.
166540	169540	То есть я имею в виду в каждой папке на любом компьютере.
169540	174100	Благодаря манипуляциям в данном файле, вы можете изменить
174100	175400	...аааа...
175400	177800	...отпечаток WebGL ImageHash.
177800	184400	То есть мы видим из чего у нас состоит, из каких констант состоит наш отпечаток.
184400	187800	Какие константы применяют участие в его формировании.
187800	190300	И запустив любой PE-эдитор.
190300	196700	В данном случае используется open-source PE-эдитор, взятый на GitHub.
196700	203200	Так вот, использование любого PE-эдитора позволяет вам видоизменить библиотеку libglass.
203200	205300	И, соответственно, поменять там любой из параметров.
205400	206400	Который вам нужен.
206400	211400	А если же вы хотите заменить, например, параметр renderer.
211400	213400	То можно сделать следующим образом.
213400	218400	Вам нужен файл, который называется vk.swiftshader.delil.
218400	222400	Он находится в той же папке с браузером хром.
222400	226400	И если вы захотите, например, изменить вашу видеокарту.
226400	230400	Как мы видим сейчас у меня видеокарта NVIDIA.
230400	233400	Мы не можем конкретно эту видеокарту сейчас изменить.
233400	234400	Но!
234400	235300	Если мы с вами...
235300	238300	Перейдем в режим программного ускорения.
238300	241300	То в таком случае у нас будет вот такая видеокарта.
241300	243300	Она вам всем знакома.
243300	244300	SwiftShaderDevice.
244300	246300	Вот мы видим его на своих экранах.
246300	250300	SwiftShaderDevice это движок программного ускорения графики.
250300	256300	И внутренности этого движка находятся в библиотеке vk.swiftshader.delil.
256300	260300	Соответственно, если вы захотите подменить видеокарту.
260300	262300	Сделать свой мини-антидетект.
262300	264300	Сделать это элементарно просто.
264300	266300	Переходите на вкладку Strings.
266300	267300	А затем ищите.
267300	273300	SwiftShaderDevice.
273300	274300	Пожалуйста.
274300	275300	Вот этот параметр.
275300	279300	Далее мы его преследуем в HEX.
279300	284300	И можете изменить его на любую другую видеокарту, на которую вы хотите.
284300	288300	Точно так же хотите вы заменить, например, идентификатор этой видеокарты.
288300	290300	Которая называется в данном случае Subzero.
290300	291300	На какой-либо другой.
291300	292300	ОК.
292300	293300	Вы можете это сделать.
293300	302300	Вы можете найти параметр Subzero.
302300	303300	Вот он.
303300	304300	Первый у нас идет.
304300	307300	Точно так же нажимаем правой кнопкой мышки и меняем его.
307300	309300	Не буду заострять на этом внимание.
309300	313300	Ну так, раз уж мы начали говорить по поводу браузера Chrome.
313300	318300	Это можно сделать с браузером Chrome, с браузером Edge, Opera и так далее.
318300	321300	Иными словами, вы можете, например, если вам захочется.
321300	324300	Создать себе такую библиотеку.
324300	329300	В которую будет входить, например, 10 видеокарт.
329300	333300	И эти 10 видеокарт будут состоять из двух модифицированных библиотек.
333300	337300	И плюс ко всему вы можете эти библиотеки использовать кросс-браузерно.
337300	343300	То есть вы можете одну и ту же библиотеку использовать как в браузере Chrome, так и в браузере Edge и в браузере Opera.
343300	349300	Но в данном случае по поводу кросс-браузера данная фишка имеет определенные временные рамки.
349300	353300	Так что то, что работает сейчас, не факт, что будет работать через месяц.
353300	359300	Почему мы обратили внимание на изменение файлов Chrome?
359300	362300	Я не зря вам это все показал.
362300	370300	Дело в том, что в данном случае у нас используется программный движок ускорения графики.
370300	373300	И здесь кроется очень-очень большой дьявол.
373300	378300	Дело в том, что несмотря на то, что вы подмените, например, свою видеокарту.
379300	381300	Подмените отпечаток.
381300	389300	И уже думаете, что сейчас вам все банки будут выдавать кредиты, все криптобиржи засыпят в вас криптовалюты.
389300	391300	К сожалению, это не так.
391300	401300	Дело в том, что подмена этих отпечатков, точнее подмена этих идентификатора и отпечатка не является чем-то важным для антифрод системы.
401300	405300	Что же в таком случае, вы спросите себя, является важным?
405300	407300	А я вам покажу сейчас.
407300	410300	Обратите внимание на данный веб-ресурс.
410300	412300	Он элементарно прост.
412300	415300	Это сверхсекретная инопланетная технология,
415300	423300	которая благодаря вычислению разницы между точкой приема и точкой передачи
423300	427300	позволяет производить анализ квантовых частиц
427300	434300	и за счет определения их скорости определить ваш отпечаток и идентификатор.
434300	436300	Как далеко вы находитесь от необходимой антифрод системы.
437300	440300	Вы поверили в этот бред?
440300	447300	Ну, к сожалению, правда могла бы быть такой красивой, но по факту она намного хуже.
447300	452300	Открываем правой кнопкой мышкой исходный код данного веб-сайта.
452300	455300	Он состоит из 180 строчек кода.
455300	463300	И если убрать дурные комментарии и убрать определение юзер-агента, то мы вполне можем влезть в 100 строчек кода.
463300	465300	Что же это за тест?
465300	473300	Данный тест при всей своей простоте использовался впервые на ресурсе под названием PayPal.
473300	475300	Наверняка он всем вам знаком.
475300	480300	Сейчас данный тест используется практически во всех крупных банках.
480300	487300	При своей кажущейся простоте в интернете про него информации ноль.
487300	492300	Теперь давайте же его запустим и посмотрим, что за это за волшебный тест.
492300	494300	Кстати, если захотите запустить его у себя на компьютере,
494300	502300	исходный код данного веб-сайта будет доступен вместе с данным видеоуроком как приложение.
502300	505300	Итак, запускаем наш прекрасный тест.
505300	508300	Что же мы сейчас получили?
508300	511300	Мы получили тест производительности.
511300	515300	Я предоставляю вам информацию с своего ПК.
515300	522300	И рекомендую вам не обращать внимание на JS, Audio, Canvas, DOM и так далее.
522300	526300	Мы обращаем внимание сейчас только на WebGL.
526300	534300	В моем случае производительность WebGL составляет 123 FPS, то есть 123 кадров в секунду.
534300	541300	Вот этот параметр является краеугольным камнем антифрод-систем.
541300	550300	Дело в том, что если вы запустите данный тест на VPS, виртуальном частном сервере,
550300	557300	у вас будет количество кадров равное 43-48.
557300	559300	Примерно в этих пределах.
559300	566300	Если вы запустите этот тест на удаленном физическом сервере, на dedicated сервере,
566300	570300	у вас будет такое же значение 43-48.
570300	576300	Если вы запустите этот тест на удаленном сервере с работающей видеокартой,
576300	579300	то вы получите точно такое же значение.
580300	584300	Если вы запустите этот тест внутри виртуальной машины,
584300	589300	VirtualBox, VMWare, Proxmox, QEMU,
589300	594300	вы получите то же самое значение 43-48.
594300	603300	Если вы запустите данный тест на 90% всех антидетект браузеров,
603300	608300	вы получите значение 43-48 FPS.
608300	617300	И даже если вы запустите этот тест внутри предыдущих версий антидетектора от Vector T13,
617300	621300	вы получите то же самое значение 43-45.
621300	625300	А теперь включаем логику.
625300	629300	Дело в том, что данный тест показывает производительность вашей видеокарты,
629300	631300	как вы уже поняли.
631300	637300	И если мы заявляем, что у нас используется в качестве рендерера видеокарта,
637300	642300	например, Nvidia, как у меня, 2080, условно,
642300	648300	то и количество кадров должно соответствовать данной модели видеокарты.
648300	655300	А если же количество кадров будет соответствовать 43-48,
655300	658300	то есть программному ускорению графики,
658300	663300	это означает, что перед антифронт системой находится кто?
663300	666300	Правильно, автоматизированное средство.
666300	669300	Иными словами, бот.
669300	673300	Это будет либо FPS, это будет либо антидетект браузерный,
673300	675300	это будет либо виртуальная машина.
675300	683300	И данный тест работает при всей своей простоте просто изумительно на протяжении последних 10 лет.
683300	690300	Вы, к сожалению, не сможете какими-либо простыми средствами его обойти.
690300	695300	И, кстати, этот тест являлся одной из причин,
695300	704300	почему Vector T13 на протяжении 5 лет использовал движок программного ускорения графики.
704300	708300	Иными словами, в прошлых версиях антидетекта от Vector T13
708300	712300	вы всегда могли увидеть, что использовался Swift Shader.
712300	715300	Но, к сожалению, все течет, все меняется,
715300	722300	и поскольку в ближайшее время Swift Shader будет уже недоступен в браузерах на платформе Chromium,
722300	724300	пришло время рассказать о данном.
725300	729300	Данная великолепная и невероятно простая технология.
729300	735300	Но, помимо всего прочего, надо произвести небольшое сравнение.
735300	741300	Как же все-таки эту технологию вычислить и каким образом ее можно побороть?
741300	744300	Показываю вам невероятно простой пример.
744300	749300	На клавиатуре, давайте обновим сейчас сайт, обновили сайтик.
749300	754300	На клавиатуре нажимаем F12 и вверху переходим на вкладку Performance.
755300	763300	То же самое делаем на сайте, ну, например, пусть это будет тот же самый BrowserLix.
763300	772300	Итак, давайте нажмем на какую-нибудь кнопку, JSON Dump, например, или же обновление страницы.
772300	779300	Идеальным вариантом будет являться, если у нас будет какой-либо параметр,
779300	783300	который мы могли бы отобразить в качестве работы.
783300	785300	То есть, что я имею в виду?
785300	790300	Видите, когда мы открываем просто BrowserLix WebGL, мы не видим сейчас ничего.
790300	792300	У нас ноль действий.
792300	796300	Но давайте попробуем открыть, ну, допустим, например, вот этот ресурс.
796300	798300	Он у нас недоступен сейчас.
798300	800300	Жаль, жаль.
800300	804300	Хотелось показать, но давайте попробуем тогда на другом примере.
804300	812300	Попробуем сейчас на примере Geolocation API, например.
812300	814300	Просто сейчас посмотрите на логику.
815300	818300	Обязывайтесь к тому, что это геолокация.
818300	820300	Нажимаем на кнопку.
820300	826300	Мы видим, что на выполнение данного действия было затрачено 8 миллисекунд.
826300	829300	Попробуем еще понажимать различные кнопки.
829300	834300	Может быть, у нас что-нибудь получится показать еще данному веб-сайту.
834300	843300	К сожалению, он не дает нам сейчас никаких вариантов, кроме как относительно статичного.
843300	850300	Посмотрите, пожалуйста, сейчас на скорость выполнения.
850300	854300	8 миллисекунд, 16 миллисекунд.
854300	857300	В принципе, мы это видим сейчас, да?
857300	862300	Больше кнопок у нас здесь, к сожалению, нет.
862300	864300	Но нам и этого хватит.
864300	871300	А теперь давайте мы посмотрим с вами на тот же самый тест с проверкой единицы.
871300	872300	С проверкой единицы.
872300	874300	Проверка его производительности.
874300	877300	Нажимаем на кнопку Run Benchmark.
877300	882300	И мы получаем уже 520 миллисекунд.
882300	892300	Иными словами, на выполнение определенного рода операции, которую вызывает нажатие данной кнопки,
892300	895300	занимает 520 миллисекунд.
895300	899300	То есть, в обычном сайте 16 миллисекунд.
899300	900300	Кстати, посмотрите.
900300	902300	Здесь тоже фигурирует значение 16.
902300	910300	Это среднее значение, которое является, скажем так, базовым для определения скорости отклика.
910300	916300	Но в моем же случае, когда мы нажимаем на кнопку Run Benchmark,
916300	918300	имеем 520 миллисекунд.
918300	922300	Да, конечно, можно сказать, что используется здесь тест Fibonacci,
922300	927300	который является довольно, скажем так, ресурсоемким.
927300	931300	Но все же, если даже мы уберем тест Fibonacci,
931300	939300	то время на выполнение данной операции займет у нас примерно 400 или же 380 миллисекунд.
939300	941300	Будет держаться в этих пределах.
941300	950300	Вот таким элементарно простым образом вы сможете проверить, использует ли веб-ресурс данную технологию.
950300	957300	Однако, я рекомендую вам еще добавить несколько моментов очень важных.
957300	960300	Всегда ставьте вот эту галочку.
961300	965300	Эта галочка позволяет вам проверить действия не только на одном ресурсе,
965300	968300	но и также на третьесторонних ресурсах.
968300	970300	Невероятно важный момент.
970300	974300	Ну и, конечно же, можно было бы, в принципе, еще включить анализ памяти
974300	981300	и каким-либо образом можно еще и модернизировать данный тест,
981300	985300	либо же использовать какие-либо другие средства проверки.
985300	990300	Но на данный момент я скажу, как сделать лучше всего.
991300	1001300	Самый простой вариант – это интегрировать в браузер, например, в обычный браузер Google Chrome,
1001300	1006300	расширение, которое будет производить замеры производительности.
1006300	1013300	И тогда у вас появляется возможность отслеживать производительность на каждом действии
1013300	1018300	и на каждом обновлении, либо же загрузке страницы.
1018300	1020300	Таким образом, вы сможете ввести данные.
1020300	1026300	Вы сможете в любой момент, при любом действии со стороны веб-ресурса определить,
1026300	1030300	используются ли там какие-либо тесты производительности.
1030300	1036300	Вы будете неприятно удивлены, что, как я и говорил ранее,
1036300	1042300	данный тест используется фактически во всех крупных банках
1042300	1046300	и в огромном количестве платежных систем.
1046300	1048300	И, действительно, данный тест,
1048300	1052300	при всей своей минималистичности и простоте,
1052300	1060300	является фактически непобедимым для, во-первых, людей, которые о нем не знают,
1060300	1066300	во-вторых, для людей, которые не умеют самостоятельно делать антидетекты.
1066300	1073300	И по итогу давайте еще раз вернемся к тому, что может сделать данный тест.
1073300	1077300	Данный тест позволяет вычислить ВПС, удаленные сервера,
1077300	1080300	виртуальные машины, антидетект браузеры,
1080300	1083300	ВПС, совместно с антидетект браузерами,
1083300	1086300	удаленные сервера, совместно с антидетект браузерами
1086300	1090300	и антидетект виртуальные машины.
1090300	1095300	Что данный тест не может вычислить?
1095300	1100300	Данный тест не может вычислить удаленные сервера с видеокартами,
1100300	1103300	которые запущены в режиме «РАДМИН».
1103300	1107300	Здесь очень важно, я хотел бы сразу же сакцентировать,
1107300	1120000	Если вы арендуете где-то удаленный сервер и на этом удаленном сервере есть дискретная видеокарта, вы не сможете ее запустить простыми средствами.
1120000	1135880	Почему так происходит? Дело в том, что когда вы подключаетесь к серверу через режим RDP, у вас автоматически на сервере включается движок графической совместимости Microsoft GDI.
1135880	1141720	Движок Microsoft GDI отключает использование аппаратного ускорения графики.
1141720	1146200	Простыми словами, когда вы используете RDP, вы не можете использовать видеокарту.
1146200	1152320	Как же в таком случае быть, если захочется, например, использовать видеокарту в браузере на удаленном сервере?
1152320	1155320	У вас есть два самых простых варианта.
1155320	1165760	Программное обеспечение под названием RADMIN не использует движок Microsoft GDI, соответственно, вы можете подключиться к серверу.
