start	end	text
520	2200	Приветствую, с вами Вектор Т13.
2980	9600	И в этом видео я познакомлю вас с технологией, о которой 99% из вас даже еще не слышали.
10320	12780	Знаете ли вы, что такое виртуальные машины?
13360	16860	Наверняка вы знаете, потому что работали с моим антидетектом,
16980	20600	либо же просто пытались запустить какую-нибудь игрушку в виртуальной машине,
20980	23480	для того, чтобы немного почетерить.
23800	29720	Но, помимо всего прочего, виртуальные машины есть еще и в браузере.
30380	33960	И я сейчас говорю не про обычный сэндбокс или что-нибудь такого плана.
34960	36780	А знаете ли вы, что такое джаваскрипт?
37320	38260	Конечно же, знаете.
38560	42380	Как минимум, вы знаете то, что этот язык используется для того,
42500	48860	чтобы веб-ресурсы коммуницировали с пользователем и выполняли различные интересные сложные операции.
50140	53160	И как раз джаваскрипт является источником опасности,
53160	59060	потому что множество технологий определения пользователей построены на базе джаваскрипт.
59060	61900	Если мы вспомним прекрасный браузер Tor,
62960	66620	то там как раз используется расширение NoScript,
66840	71260	которое позволяет полностью блокировать использование джаваскрипт.
71900	76340	Но что, если я вам скажу, что джаваскрипт уже не самый опасный зверь?
76340	88340	А именно, нам навстречу новым технологиям пришла совершенно новая версия джаваскрипта.
89060	93060	То есть это не джаваскрипт, это называется веб-ассембли.
93440	93840	Вот он.
94620	95800	Что такое веб-ассембли?
99300	102540	Если вас интересует, вы можете ознакомиться с этим в интернете.
102540	107540	Это язык программирования, который на текущий момент используется веб-ресурсами.
108760	113460	И данный язык программирования, хоть он и не новый, как нам говорит Википедия,
113500	116220	он появился аж 8 лет назад, в 2018 году.
116700	119000	Сейчас его все больше начинают внедрять.
119000	123620	Плюс ко всему, конечно же, веб-3 и все эти новые технологии,
124080	128980	они хотят перейти с джаваскрипт непосредственно на веб-ассембли.
129300	135160	Потому что веб-ассембли, он выполняется практически настолько же быстро, как и нативный код.
135700	138320	То есть веб-ассембли намного быстрее.
138560	139580	Он компактнее.
140200	143980	И он ближе к железу, чем тот же самый джаваскрипт.
144420	145660	Что он позволяет нам?
145660	148500	Он позволяет компилировать программы.
149000	156900	Веб-ассембли, C++ и основные, и запускать их в браузере практически так же нативно, как и на вашем железе.
157220	164000	Представьте себе, что вы можете в самом браузере запустить, например, условно говоря, тот же самый VirtualBox.
164580	167880	Либо же какое-то другое программное обеспечение.
168040	170560	Можете запустить, например, мессенджер.
170660	174160	Можете запустить кошелек или же что-либо.
174160	176920	Любую другую обычную, самую обычную программу.
176920	180860	Вы можете запустить не на своем ПК, а внутри вашего браузера.
181300	186300	То есть браузер сам создает для вас виртуальную машину внутри себя.
186760	190200	И что самое интересное, эта технология, она уже доступна.
190400	191260	Она уже работает.
192140	199920	И, конечно же, от себя хочу сказать, что я нашел на текущий момент огромное количество отпечатков,
200600	203480	которые можно получить с помощью технологии веб-ассембли.
204180	205980	То есть это совершенно новый мир.
205980	206840	Представьте себе.
206920	213700	Ваши предыдущие отпечатки Canvas, WebGL и вся остальная шляпа, это осталось где-то давным-давно.
213700	215700	В далеком-далеком прошлом.
215700	217700	В аналах истории.
217700	225700	Вот эта технология призвана сейчас полностью изменить вообще весь взгляд на антифрод-системы.
225700	229700	И, конечно же, ей нужно время для того, чтобы это реализовать.
229700	232700	Но кое-что мы можем уже попробовать сейчас.
232700	236700	Прямо сейчас я покажу вам, как работает данный отпечаток.
236920	239920	Итак, я сделал для вас небольшую страничку.
239920	242920	Вы можете с этим кодом ознакомиться.
242920	246920	Страница, повторюсь, данный веб-сайт одностраничный.
246920	251920	Здесь используется всего-навсего 447 строчек кода, включая оформление.
251920	255920	То есть мелочь всего-навсего.
255920	256920	Так вот.
256920	263920	Данный веб-ресурс, данный веб-сайт является чекером отпечатка веб-ассембли.
263920	265920	Что он делает? Как он работает?
265920	270920	Он работает на стыке джаваскрипта и веб-ассембли.
270920	280920	То есть он вызывает функции веб-ассембли из джаваскрипта и зовет джаваскрипт из веб-ассембли.
280920	283920	То есть туда-сюда прогоняет одни и те же скрипты.
283920	284920	Как это работает?
284920	289920	Нажимаем кнопку, точнее, давайте возьмем сейчас наши показатели пока.
289920	292920	И запустим вот этот тест производительности.
292920	294920	И посмотрим сейчас, меняется ли у нас что-то или нет.
295920	298920	Пока проходит этот тест, еще раз продолжаем.
298920	300920	Как он работает?
300920	305920	Из функционала веб-ассембли вызывается джаваскрипт, из джаваскрипта вызывается веб-ассембли.
305920	311920	То есть такой своего рода пинг-понг, туда-сюда, ну в виде моста, назовем его так.
311920	315920	И в частности, знаете к чему это приводит?
315920	321920	Это приводит к идентификации пользователя с погрешностью менее чем 1%.
321920	324920	То есть есть возможность вычислить полностью,
324920	327920	с вероятностью 100% движок браузера.
327920	334920	А значит, что такие параметры как подмена юзер-агента остались просто в прошлом очень-очень далеко.
334920	337920	Можно вычислить использование виртуальной машины.
337920	343920	Хотя там, правда, есть опять же, я как разработчик этих виртуальных машин, знаю какая хитрость там есть.
343920	349920	И можно, в принципе, выделить пиковое количество ресурсов для браузера.
