start	end	text
0	1940	Приветствую, с вами Вектор Т13.
2460	6780	На прошлом уроке мы с вами рассмотрели тест производительности WebGL
6780	15320	и каким образом с помощью данной технологии есть возможность определить использование виртуальных машин, антидетектов, ВПС и прочего.
16320	20020	В этом уроке мы продолжим эту же серию экспериментов,
20600	24460	однако уделим внимание совершенно противоположной технологии.
24460	29800	Если раньше мы говорили по поводу видео, то сейчас мы будем говорить по поводу аудио.
30000	33240	А именно, теста производительности аудио.
33620	37440	Как мы видим сейчас на своих экранах, на реальном компьютере,
37820	42240	производительность теста аудио составляет 2,30 миллисекунд.
42920	45360	Но из чего состоит отпечаток аудио?
45820	53180	Возможно, я вас удивлю, но отпечаток аудио практически не имеет отношения к отпечатку аудио.
54580	56760	К аудиосистеме, я имею в виду.
57480	59980	Что такое? Давайте немного поговорим.
60000	61380	Вспомним историю.
62020	67940	31 марта 2018 года данный сайт прекратил свое существование,
68040	72820	но наверняка он знаком всем вам, потому что еще в далеком 2015 году
72820	76260	группой студентов из Принстонского университета США
76260	84520	был обнаружен непонятный отпечаток, непонятная технология на таких ресурсах, как Google и Facebook.
85540	88860	Тогда все подумали, что это аудио отпечаток.
88860	89860	Почему? Потому что...
90000	92740	Он носит название аудиоконтекст.
92740	98320	Давайте же найдем сейчас данный веб-ресурс и проверим наш отпечаток.
98320	103320	Мы нажимаем кнопку Fingerprint Me и вот он, наш отпечаток.
103320	109060	Чудесно, красиво, все хорошо, но что же он в себе хранит?
109060	115400	Пользователи, также как и SwapGL, они хотят этот отпечаток менять.
115400	119820	Давайте разберемся, почему это абсолютно непонятно.
120420	124860	Глупое и, более того скажу, опасное занятие.
125860	126260	Первое.
127080	132000	Вот визуализация якобы нашего отпечатка, но давайте мы посмотрим на то,
132080	134120	как выглядит он немного по-другому.
134940	138460	По факту, вот наш аудио отпечаток.
138760	139160	Вот он.
140420	143360	Получен двумя различными методиками.
144400	148000	Некоторые пользователи думают, что отпечаток...
148000	149260	Вот он.
150000	156000	Он более, скажем так, понятен, он больше похож на какой-нибудь хэш, например, на хэш MD5, что-нибудь такого плана.
156000	160000	И, соответственно, людям более привычно это.
160000	172500	Но, если вы воспользуетесь историей, а точнее воспользуетесь вашим компьютером и скачаете туда все последние, например, последние 100 версий браузера Chrome,
172500	177960	то вы увидите, что данный отпечаток, к примеру, вот тот, который сейчас вы видите у себя на экране,
177960	179880	он будет одинаковым.
179880	183760	Он будет одинаков в браузере Chrome, в браузере Opera, в браузере Edge.
184240	186960	На моем компьютере и на ваших компьютерах тоже.
188120	192740	И если мы будем проверять с вами этот отпечаток на...
192740	194880	Сейчас у нас 138-я версия Chrome.
195540	203220	Если мы с вами будем скачивать по одной версии назад, то есть 137-ю, 136-ю, 135-ю,
203420	207980	то мы с вами можем дойти аж до 98-й версии.
209880	214280	С 98-й по 138-ю этот отпечаток нигде не будет меняться.
214480	220880	В то же время на 98-й версии он изменится и будет изменяться аж до 92-й версии.
221700	226140	Суть данный отпечаток, это отпечаток аудиодвижка.
227160	231960	И если аудиодвижок не меняется, то и отпечаток этот меняться тоже не должен.
232820	237000	К сожалению, некоторые владельцы сайтов-чекеров,
238280	239000	они используют...
239880	242260	данный отпечаток в своих маркетинговых целях,
242320	243800	потому что его очень легко подменить.
244240	247780	Подменяется он элементарно просто даже правкой реестра.
248560	251040	Но делать этого, конечно же, не стоит.
251040	252320	Объясню по какой причине.
252920	255040	Дело в том, что если у этого отпечатка нет вариативности,
255960	258300	то есть у него есть всего-навсего одно значение,
259080	261040	то и подменять его является полным идиотизмом.
262440	266860	Но в то же время на этот идиотизм некоторые пользователи с удовольствием клюют,
267380	269620	не разобравшись в технологии самого...
269880	270880	отпечатка.
271380	271880	Но!
272260	275700	Имеет ли данный отпечаток какое-либо отношение к аудио?
276760	277760	Фактически не имеет.
279480	280480	Объясню вам почему.
280960	282960	Если вы возьмете компьютер,
283760	285760	на котором нет аудиокарты,
286980	288480	и выполните там этот тест,
289480	291920	у вас этот тест будет завершен успешно.
292420	294420	И там будут вот такого рода параметры.
295720	296920	Почему же так происходит?
298160	299120	Дело в том, что
299120	302620	данный отпечаток не воспроизводит какой-либо звук.
303060	304980	Он не записывает какой-либо звук.
305740	308380	Он выполняется внутри самого браузера.
