start	end	text
520	2360	Приветствую, с вами Вектор Т13.
3020	8820	В этом уроке мы познакомимся с вами с самыми таинственными отпечатками,
9040	13040	которые используются антифрод-системами, а именно с сетевыми отпечатками.
13560	15300	Почему их называют таинственными?
15660	22000	Дело в том, что если мы рассмотрим тот же самый отпечаток Canvas, отпечаток WebGL и прочие,
22380	27760	они появились в 2013-2014 году, то есть им уже более 10 лет.
27760	32660	Количество чекеров, огромное количество информации, еще больше,
33340	36900	и поэтому людям эти технологии понятны.
37100	40900	Но, к сожалению, сетевые отпечатки намного сложнее.
41420	45400	Ведь для того, чтобы понять, что веб-ресурс использует, например, технологию Canvas,
45920	52720	необходимо быть просто каким-нибудь джуном всего-навсего и немного уметь в JavaScript.
52940	57680	Или же даже просто не в JavaScript, а в язык разметки HTML.
57760	61300	Но, если мы говорим о сетевых отпечатках,
61920	67260	обнаружить их невозможно благодаря анализу исходного кода веб-ресурса.
67800	72340	Соответственно, мы не можем нажать правой кнопкой мышки на интересующей нас веб-странице
72340	76340	и посмотреть, используется ли там Canvas или используется ли там WebGL.
76880	82160	По сути, сетевые отпечатки являются для юзера абсолютно невидимыми.
82800	85680	Но это добавляет им значимости,
85680	87180	потому что мы никогда не знаем,
87180	91580	с каким конкретно ресурсом мы работаем и что этот ресурс от нас хочет.
91580	94740	Но все же некоторые методы есть.
94740	96740	Я вас сегодня с ними познакомлю.
97300	100100	Итак, что вы знаете о сетевых отпечатках?
100860	105340	Стандартно, что знает каждый пользователь, это то, что есть какие-то отпечатки,
105340	110540	которые якобы позволяют узнать, какую операционную систему мы используем.
110980	112980	Есть несколько чекеров.
113420	117100	Вот проект, на котором базируются все,
117180	119940	текущие современные паблик-чекеры.
119940	122420	Без разницы, какой ресурс вы не откроете,
122420	128420	где красивая картинка, либо же покажет вам какие-нибудь дополнительные параметры вашего соединения,
128420	130420	не имеет абсолютно никакого значения.
130420	132420	Вот самый оригинал.
132420	137420	И мы, собственно говоря, находимся на странице автора данного проекта.
137420	139420	Но об этом чуть позже.
139420	141420	Что мы видим сейчас перед собой?
141420	144940	Мы видим, если мы не являемся сетевиками,
144940	146940	то фактически наши все знания,
147180	151180	закончатся на первом блоке.
151180	155180	Ну, может быть, еще вот здесь мы увидим знакомое слово Windows.
155180	157180	Больше ничего.
157180	159180	Что означает, например, вот этот параметр,
159180	161180	что означает этот параметр,
161180	163180	мы абсолютно не знаем, не понимаем,
163180	165180	и по факту оно нам не нужно.
165180	167180	Но, тем не менее,
167180	170180	если мы посмотрим на то, как называется этот блок,
170180	172180	мы, может быть, догадаемся,
172180	176180	что действительно это какое-то отношение к отпечатку имеет.
176180	179180	Теперь рассказываю популярно,
179180	181180	как это работает.
181180	186180	Перед вами так называемый проект Zarduxt.
186180	188180	Вы можете ознакомиться с ним
188180	190180	на его официальной странице
190180	192180	на веб-ресурсе GitHub.
192180	194180	Вот он.
194180	196180	Адрес вы можете увидеть
196180	198180	вверху данного видео.
198180	200180	Данный проект
200180	202180	и, собственно говоря, его автор
202180	204180	Николай
204180	207180	представлены здесь, на данной странице.
207180	210180	Данный проект был разработан
210180	212180	более двух лет назад,
212180	214180	то есть 2023 год,
214180	218180	и выполнял роль анализа
218180	220180	и определения операционной системы
220180	224180	благодаря анализу TCP заголовков.
224180	227180	Как вы знаете, мы общаемся с веб-ресурсами
227180	229180	благодаря TCP и UDP пакетам.
229180	231180	Это два самых основных протокола.
231180	233180	Конечно же, есть еще и протокол Quick.
233180	235180	Про него тоже не стоит забывать.
235180	238180	Так вот, когда происходит
238180	240180	TCP соединение,
240180	242180	инициализация TCP соединения,
242180	244180	происходит диалог
244180	246180	между клиентом и сервером.
246180	249180	Когда для оптимальной передачи данных
249180	251180	происходит обмен информацией,
251180	253180	иными словами,
253180	255180	веб-ресурс и клиент
255180	257180	идентифицируют друг друга.
257180	259180	То есть клиент говорит,
259180	261180	я принимаю такие-то и такие-то параметры.
261180	262180	Веб-ресурс говорит, окей,
262180	264180	я под тебя подстраиваюсь,
264180	266180	пожалуйста, вот тебе такие параметры
266180	268180	как параметры передачи данных,
268180	269180	как ты сообщил,
269180	271180	для того, чтобы у тебя была максимальная
271180	272180	эффективность твоей работы.
272180	273180	Все.
273180	275180	Вот, собственно говоря, отсюда
275180	278180	и начинается проблема.
278180	280180	Проблема заключается в том,
280180	283180	что параметры, которые используются
283180	287180	для того, чтобы коммуницировать
287180	289180	с веб-ресурсом,
289180	291180	то есть эти заголовки TCP пакетов,
291180	292180	которые определяют,
292180	294180	как будут переданы данные,
294180	296180	они могут использоваться
296180	298180	для идентификации пользователя.
298180	300180	Они могут использоваться, в первую очередь,
300180	302180	для идентификации операционной системы,
302180	304180	ну и, конечно же,
304180	306180	для того, чтобы понять,
306180	309180	кто стоит перед этим веб-ресурсом.
309180	312180	Раньше был проект,
312180	314180	который назывался POF,
314180	316180	Passive OS Fingerprint.
316180	318180	Данный проект входил
318180	320180	в еще более знаменитый проект
320180	322180	под названием NMAP.
322180	324180	И на тот момент идентификация
324180	326180	операционной системы
326180	328180	проходила очень просто.
328180	330180	Фактически она проходила
330180	334180	по параметрам TTL и MTU
334180	336180	.
336180	338180	То есть максимальный размер пакета
338180	340180	и время жизни пакета.
340180	343180	Поскольку, собрав определенную статистику
343180	345180	на момент появления проекта POF
345180	347180	в 2004 году,
347180	349180	можно было понять, что
349180	351180	про эти технологии передачи данных
351180	353180	никто фактически нормально не знает.
353180	355180	И, соответственно, у Windows, например,
355180	357180	параметр MTU,
357180	359180	который у нас представлен здесь
359180	361180	в качестве MSS,
361180	363180	всегда равен, например, 1500,
363180	365180	1440,
365180	367180	1280 и так далее.
367180	369180	То есть определенный набор
369180	371180	просто-напросто переменных.
371180	373180	У операционной системы Linux
373180	375180	этот набор другой,
375180	377180	у Android или macOS,
377180	379180	соответственно, тоже отличающийся.
379180	381180	Так было
381180	383180	на протяжении многих лет.
383180	385180	И проект
385180	387180	Zardust, который вы видите сейчас перед собой,
387180	389180	являлся
389180	391180	фактически, можно сказать,
391180	393180	публичным первопроходцем.
393180	395180	И благодаря этому проекту
395180	397180	мы сейчас можем понять,
397180	399180	как эта система функционирует
399180	401180	наглядно. Потому что, конечно же,
401180	403180	те знания, которые у нас есть в теории
403180	405180	в нашей голове, это одно.
405180	407180	Это все продемонстрировано на практике,
407180	409180	и это совершенно другое.
409180	411180	В частности, мы можем уже отойти
411180	413180	от данного веб-ресурса,
413180	415180	респект его автору, конечно же,
415180	417180	и перейти, например, на тот же самый
417180	419180	ресурс BrowserLix,
419180	421180	где более подробно это описано.
421180	423180	Если вдруг вы не знаете,
423180	425180	как увидеть эти заголовки TCP-пакетов,
425180	427180	вам необходимо перейти на вкладку IP
427180	429180	и затем нажать на
429180	431180	гиперссылку TCP IP Fingerprint.
431180	433180	Ну, вот здесь вы теперь
433180	435180	видите название полей,
435180	437180	то есть это более информативно
437180	439180	и более удобно.
439180	441180	И вы можете понять, какое поле
441180	443180	за что отвечает.
443180	445180	Фактически, и вот мы видим даже
445180	447180	здесь точно также Zardax OS scoring.
447180	449180	Фактически,
449180	451180	на этом все.
451180	453180	Больше сказать об этом проекте
453180	455180	нечего.
455180	457180	Ну, так на первый взгляд.
457180	459180	Откуда берутся вот эти данные?
459180	461180	Как вы думаете,
461180	463180	являются ли эти данные абсолютом?
463180	465180	То есть, что я имею в виду?
465180	467180	Я имею в виду, что
467180	469180	100% ли они правильные?
471180	473180	К сожалению, нет. Я объясню, почему.
473180	475180	Дело в том, что вот эти данные,
475180	477180	они мало того, что имеют
477180	479180	очень маленькую энтропию, во-вторых,
479180	481180	они собраны были
481180	483180	2 года назад, более чем 2 года назад.
483180	485180	И вы можете ознакомиться с этим
485180	487180	в самом проекте Zardax.
487180	489180	Если вы запустите данный проект
489180	491180	на своем сервере,
491180	493180	то вы будете видеть, что у вас он
493180	495180	не работает. Почему он не работает?
495180	497180	Потому что базы данных пустые.
497180	499180	И
499180	501180	самое ценное в данном проекте
501180	503180	это базы данных.
503180	505180	Автор оставил здесь все
505180	507180	базы данных, которые он использовал.
507180	509180	И самая основная база данных
509180	511180	называется newclinet.json
511180	513180	И вот мы можем
513180	515180	видеть, как
515180	517180	и какие параметры
517180	519180	отвечают за ту или
519180	521180	иную операционную систему.
521180	523180	Соответственно,
523180	525180	когда происходит ситуация,
525180	527180	при переходе на сайт
527180	529180	BrowserLeaks,
529180	531180	при переходе на сайт
531180	533180	оригинальный сайт Checker,
533180	535180	либо же на какой-нибудь другой красивый
535180	537180	раскрашенный веб-ресурс,
537180	539180	который является якобы
539180	541180	чекером TCP пакетов,
541180	543180	вы всегда будете работать
543180	545180	с этими базами данных.
545180	547180	И, соответственно, если вы соответствуете,
547180	549180	если ваши параметры данных
549180	551180	соответствуют данной
551180	553180	записи в базе данных,
553180	555180	будет выведено определенное значение
555180	557180	того, какую операционную систему
557180	559180	вы используете.
559180	561180	Это основная
561180	563180	фишка проекта Zardext.
563180	565180	И
565180	567180	к отпечатку, как таковому,
567180	569180	как вот написано здесь у нас
569180	571180	TCP IP Fingerprinting,
571180	573180	это практически не имеет
573180	575180	значения, потому что
575180	577180	здесь у нас не создается какой-то
577180	579180	сверхуникальный отпечаток.
579180	581180	Зачем же в таком случае
581180	583180	данный проект может
583180	585180	использоваться?
585180	587180	Данный проект
587180	589180	является всего-навсего
589180	591180	определенной запчастью,
591180	593180	но никак не полностью
593180	595180	самим механизмом.
595180	597180	Я вам сейчас расскажу то, что вы
597180	599180	еще не знаете. Кстати,
599180	601180	хотелось бы упомянуть, что откуда берутся
601180	603180	параметры передачи данных?
603180	605180	Вот если вы зайдете, например,
