start	end	text
80	2200	Приветствую, с вами Вектор Т13.
3400	8720	Для нашей работы с антифрод-системами очень часто нам необходимы чекеры.
9460	16240	Ну, точнее, в них необходимости нет практически никакой, но людям, видимо, так спокойнее работать.
16840	22720	Я не рекомендую использовать публичные чекеры, множество раз уже говорил, поэтому не буду сейчас повторять,
23220	26020	что все публичные чекеры являются ханепотами.
26020	32060	Как же в таком случае быть, когда хочется проверить свою информацию, хочется проверить, например, свой прокси,
32520	36120	но Вектор сказал, что чекерами пользоваться нельзя.
36960	41820	Наверное, нужно купить доступ в антифрод-систему, самый простой вариант.
42820	49920	И вот у нас есть IP Quality Score, великолепная антифрод-система, я сотрудничаю с ней уже множество лет.
50360	55180	И сейчас я покажу вам, как получить эту антифрод-систему.
55180	59180	В ее максимальной комплектации, абсолютно бесплатно.
60340	62120	Хотите? Тогда смотрите.
62780	70180	Итак, система IP Quality Score, ее основное предназначение, ее первое основное предназначение, это проверка IP-адреса.
71380	77440	Они проверяют IP-адрес множеством различных путей, они позволяют также проверить кредитные карты,
77520	80620	они позволяют проверить номера телефонов и так далее.
81060	83160	Но с чем мы будем с вами работать сейчас?
83640	85160	Конечно же, вы подумаете.
85180	88380	Вы думали, что я дам вам ссылку на бесплатный тест.
88980	95820	На самом деле, пользователи часто балуются этим тестом, и я всегда с ними ругаюсь по этому поводу.
96120	101480	Потому что этот тест, это полное говнище, из всего которого можно только найти в интернете.
101740	102660	Я объясню вам почему.
103620	111780	Если мы перейдем с вами на Plans and Pricing данного веб-ресурса, то мы увидим, что у нас, вот он наш бесплатный чек.
112100	113660	Вот он, вот, пожалуйста.
113780	115140	Вы можете зарегистрироваться здесь.
115180	119180	И получить себе ту же самую страницу для чека абсолютно бесплатно.
119700	126680	И можете проверять, сколько тысяч IP-адресов можете проверять в месяц, можете проверять имейл и так далее.
127260	136180	Но дело в том, что здесь, если мы сравним с вами базовый тип и тип стартап, мы увидим разницу только в запросах.
137820	142520	Самая магия, начальная магия начинается с типа SMB Basic.
142520	145100	Потому что здесь у нас есть премиум-блэк-листы.
145200	146520	Расширенные блэк-листы.
147040	152240	Это уже увеличивает возможность анализа нашего IP-адреса.
