start	end	text
0	7720	С вами Вектор Т13. И в этот замечательный субботний вечер мы можем начать наш вебинар.
8140	10940	Сегодняшняя тема будет посвящена геолокации.
11220	18660	Основным, десяти основным методикам, которые применяются для определения геолокации пользователя.
19380	24680	Буквально в течение одной минуты сейчас мы настроим звук и наш вебинар начнется.
24680	32800	Итак, звук проверен, все окей. Итак, всех приветствую, всех приветствую, с вами Вектор Т13.
33440	38940	Итак, геолокация. Невероятно важный инструмент в текущее время.
39180	47980	Еще буквально лет пять назад можно было его полностью игнорировать, поскольку геолокация была построена всего-навсего на определении IP-адреса.
47980	54320	Но сейчас времена изменились и чем больше наш компьютер, благодаря браузерам,
54420	54660	интегрировался в геолокацию, тем больше мы можем его использовать.
54660	62580	И чем больше он интегрируется во всемирную сеть, тем больше нам необходимо обезопасить себя от определения нашей реальной геолокации.
62900	71000	Как для приватности, анонимности, так, возможно, для получения каких-то бонусов и преференций от некоторых сервисов.
71340	76880	Но прежде чем мы начнем наш сегодняшний вебинар, я хотел бы рассказать о небольших новостях.
77020	79620	Как по традиции, делаю это в начале каждого вебинара.
79620	84300	Итак, первая наша замечательная новость.
84880	88300	Это внедрение нового телеграм-бота.
88840	91100	Точнее, первого телеграм-бота.
92000	102780	Множество жалоб я получаю на работу саппортов, что саппорты очень долго отвечают на вопросы пользователей и так далее.
102780	113940	Но, заходя в аккаунты саппортов, я просматриваю, все-таки выполняю определенный контроль качества и проверяю, о чем же пишут люди.
114660	126040	И я вам могу так сказать, ну, сложно, конечно, я не проводил в процентном соотношении, могу примерно прикинуть, где-то 85-90% это вопросы технического характера.
126040	129580	При этом вопросы технического характера невероятно просты.
129960	144300	Такое ощущение, что люди уже перестали понимать, как пользоваться компьютером, и иногда, ну, просто, скажем так, вопросы, как установить софт, ну, это уже чересчур, согласитесь.
144660	156800	Ну, а также, конечно же, Windows 11 принес нам довольно большое количество новых интересных функций, которые внедрены, по-моему, только лишь для того, чтобы нашу жизнь сделать хуже.
156800	166640	Поэтому, для того, чтобы снять нагрузку с саппортов, а также предоставить качественный уровень сервиса, я сделал телеграм-бота.
166940	173960	Ну, конечно же, для вас это не будет, наверное, чем-то удивительным, сейчас ботов очень много, но этот бот непростой.
174660	201760	Я натренировал этого бота как телеграм, как техподдержку и скормил ему всю доступную базу данных по операционным системам Windows 10, Windows 11, всю информацию по их API, полностью весь форум, посвященный VirtualBox и даже VMware, поскольку в некоторых случаях ошибки могут быть смежные.
201760	204640	А также, дополнительно, около 100.
204660	215360	Около сотни, вдумайтесь, форумов, на которых люди делятся различного рода ошибками или же какими-то твиками.
215520	217800	Короче, форумы компьютерных ботаников.
218720	225380	Эти форумы, они позволят ориентироваться боту и помогать ему в решении ваших вопросов.
225380	230700	Запуск бота мы планируем осуществить на следующей неделе.
231360	233480	Так что вы сможете его...
233480	234380	Вы сможете его...
234660	235200	Попробовать.
235500	237900	И это бот чисто технической поддержки.
238100	239240	У вас возникла ошибка?
239680	241120	Отправляйте боту скриншот.
241480	242640	У вас какая-то проблема?
242800	243920	Что-то не запускается?
244020	244960	Что-то вы не знаете?
245360	246800	Отправляйте боту сообщение.
247140	252160	Он поможет вам в решении всех ваших вопросов технического характера.
252200	252560	Повторюсь.
252560	258880	Это позволит сделать наш сервис техподдержки намного лучше и намного качественнее.
258980	260400	Так что, надеюсь, вам понравится.
261160	263560	Но, а поскольку мы заговорили о саппортах...
264660	270120	Рада вернуться к нашим физическим, живым людям, которых я безумно люблю.
272580	281380	294 заявки я получил на должность в конкурсе саппорта, который проводился неделю назад.
282180	283540	Это действительно большое количество.
283640	284180	Очень большое.
284300	288520	Я не ожидал, что я получу столько заявок.
288940	294120	Но, к сожалению, могу сказать так, что в некоторых случаях люди были...
294660	302960	Были слишком далеки от того понимания, что должен из себя представлять агент технической поддержки.
302960	312960	Поэтому, к сожалению, всего-навсего 12 человек были отобраны для участия во втором туре.
313160	316600	Всех, конечно же, я благодарю и советую не расстраиваться.
316720	318140	А почему, скажу немного дальше.
318720	324180	Касаемо этих 12 людей, которых я выделил из всего остального количества.
324660	329480	Выражаю вам отдельную благодарность за то, что вы приняли участие в конкурсе.
330300	331940	И хотел сказать следующее.
332100	338520	Завтра вы получите небольшую инструкцию по второму тесту.
339200	342040	Если... Я надеюсь, что этот тест будет финальным.
342700	347640	Но, опять же, если пройдут все 12 человек, тогда придется устроить еще и третий тур, к сожалению.
348120	354640	Но, тем не менее, я считаю, что второго тура будет вполне достаточно для того, чтобы мы определились...
354660	359900	...с саппортами в количестве от 1 до 3 человек.
360240	365700	Более 3 человек нам на текущий момент нет необходимости набирать именно технических саппортов.
366320	369440	Ну, так что могу пожелать всем удачи.
369840	379180	И завтра вы получите в личку от меня инструкции список всех пользователей, которые прошли во второй тур, опубликован на канале VectorT13.
380300	381420	Идем дальше.
381420	384420	Почему не стоит расстраиваться тем людям, которые...
384660	388580	...не попали в данный список или не прошли тест?
389440	406800	Дело в том, что наша компания, компания VectorT13 Technologies в 2026 году, прекрасном наступившем году, нацелена на очень серьезное расширение во всех областях, в которых мы работаем.
406800	414400	И, в частности, даже если вы не имеете технических знаний, но, например, имеете знания в банковской сфере,
414660	417420	понимаете, что такое ответы кодов операций,
417720	421320	умеете свои какие-то наработки в области кредитных карт,
421700	428520	да черт возьми, даже если вы предыдущий, как-то, может быть, в далеком прошлом или в далеком будущем,
428960	432060	в своих фантазиях вы являетесь кардером,
432640	437700	то я думаю, что следующий конкурс будет вам по плечу, и вам он понравится.
437700	443920	Потому что нам также нужны будут люди, которые разбираются изнутри, во всех тонкостях,
443920	447160	финансовой сферы совершения интернет-платежей.
447160	455420	Мы, расширяя наш сервис банковских карт, напоминаю, что для тех, кто будет смотреть этот вебинар и не знаком с моими сервисами,
455420	459680	у нас есть сервис по анонимным банковским картам.
459680	465680	Вы можете создавать неограниченное количество банковских карт, хоть по новой карте для каждой транзакции.
465680	470680	При этом всем у нас большое количество бинов и большое количество стран.
470680	473920	Пополнять данные карты вы сможете с помощью криптовалют,
473920	481920	и я настолько уверен в вашей добропорядочности, что не буду задавать вам лишних вопросов.
481920	485920	Соответственно, возвращаемся теперь к должности саппорта.
485920	495420	Думаю, что к концу февраля будет объявлен конкурс на саппорта в финансовой сфере.
495420	503420	И нам необходим будет человек, пока что один, который очень хорошо разбирается в интернет-платежах.
503920	506920	Так что рекомендую поучаствовать.
506920	511920	О начале конкурса вы узнаете на моем телеграм-канале.
511920	514920	Ну и к другим новостям.
514920	520920	12 февраля пройдет еще один вебинар.
520920	522920	Точнее, это ближайший наш вебинар.
522920	526920	В этом вебинаре я хотел бы раскрыть одну очень важную тему.
526920	531920	В комментариях под предыдущим видео
531920	534920	один человек высказался.
534920	536920	Нахера вот эти вот все нормы нужны?
536920	542920	Можно же просто установить кубис, поставить туда тор и все, короче, ты аноним.
542920	548920	Ну, действительно, может быть, человек этот прав, а может быть, он в корне не прав.
548920	549920	Давайте разберемся.
549920	555920	Потому что, действительно, в головах многих людей существует такая вещь,
555920	560920	что, например, установил Tails себе и все у тебя хорошо,
560920	562920	потому что Snowden рекламировал.
562920	567920	Установил в Hunix и у тебя все хорошо, потому что Vector его 10 лет назад рекламировал.
567920	570920	Установил кубис, нахера, непонятно.
570920	573920	Но тоже, вроде бы, какой-то CoolHatsker стал.
573920	576920	Может быть, тоже кто-нибудь рекламировал данную систему.
576920	580920	Поэтому 12 числа приглашаю всех на свой открытый вебинар.
580920	588920	И мы разберем, действительно ли данные системы являются такими анонимными и безопасными
588920	589920	с учетом текущего вебинара.
589920	594920	С учетом текущего времени, а именно 2026 года.
594920	595920	Идем дальше.
595920	602920	Осталось совсем немного новостей, и мы начнем нашу основную тему.
602920	605920	Antidetect Type 9.
605920	610920	Я бесконечно горд выпуском данного программного обеспечения,
610920	614920	данного вида персональной версии.
614920	617920	Уделю буквально несколько минут.
